Test
Sample	Base Mass	Observed Ion m/z	Group	Type	Name	CAS	Formula	InChIKey	Quant S/N	R.T. (min)	Quant Masses	Tailing Factor	Area	Area %	Stick Count	Concerns	Retention Index	Lib. RI	Similarity	Probability	Hit #	Peak Number	Hit 1 Name	Hit 1 Similarity	Hit 1 Probability	Hit 1 InChIKey	Hit 1 CAS	Hit 1 Formula	Hit 1 Contributor	Hit 1 Library	Hit 1 Lib. RI	Hit 2 Name	Hit 2 Similarity	Hit 2 Probability	Hit 2 InChIKey	Hit 2 CAS	Hit 2 Formula	Hit 2 Contributor	Hit 2 Library	Hit 2 Lib. RI	Hit 3 Name	Hit 3 Similarity	Hit 3 Probability	Hit 3 InChIKey	Hit 3 CAS	Hit 3 Formula	Hit 3 Contributor	Hit 3 Library	Hit 3 Lib. RI	Hit 4 Name	Hit 4 Similarity	Hit 4 Probability	Hit 4 InChIKey	Hit 4 CAS	Hit 4 Formula	Hit 4 Contributor	Hit 4 Library	Hit 4 Lib. RI	Hit 5 Name	Hit 5 Similarity	Hit 5 Probability	Hit 5 InChIKey	Hit 5 CAS	Hit 5 Formula	Hit 5 Contributor	Hit 5 Library	Hit 5 Lib. RI
200904_eQC2	146.05	160.98		Unknown	Hexamethyldisilazane	999-97-3	C6H19NSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FFUAGWLWBBFQJT-UHFFFAOYSA-N"">FFUAGWLWBBFQJT-UHFFFAOYSA-N</a>"	115975	8.5508	XIC(146.05±500ppm)	11.71	20126218069	8.287	21	Spectra Search{Unable to do spectral search}	894.0	686 ± 0(1)	758	24.6	1	5	Hexamethyldisilazane	758	24.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FFUAGWLWBBFQJT-UHFFFAOYSA-N"">FFUAGWLWBBFQJT-UHFFFAOYSA-N</a>"	999-97-3	C6H19NSi2	Japan AIST/NIMC Database- Spectrum MS-NW-3008	mainlib	686 ± 0(1)	p-Cyanobenzaldehyde dimethylacetal	752	19.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KAIKLOZUJNGBNP-UHFFFAOYSA-N"">KAIKLOZUJNGBNP-UHFFFAOYSA-N</a>"		C10H11NO2	"MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ); Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory."	mainlib		"Carbamic acid, N,N-dimethyl-, TBDMS ester"	747	15.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/WKFCQNHYHBSKSZ-UHFFFAOYSA-N"">WKFCQNHYHBSKSZ-UHFFFAOYSA-N</a>"	1224712-53-1	C9H21NO2Si	"A.Howard, J.Little, 2008, Eastman Chemical Company, USA"	mainlib		Hexamethyldisilazane	739	47.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FFUAGWLWBBFQJT-UHFFFAOYSA-N"">FFUAGWLWBBFQJT-UHFFFAOYSA-N</a>"	999-97-3	C6H19NSi2	"ORMSBG,10(10)859(1975); J. TAMAS"	replib	686 ± 0(1)	"N-(4,4-Dimethyl-3-oxopentylidene)aniline"	738	11.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IONCVHFCDJHPSE-GXDHUFHOSA-N"">IONCVHFCDJHPSE-GXDHUFHOSA-N</a>"	88125-28-4	C13H17NO	"A. SAEED, DEP. CHEM., COLL. SCI., BASRAH UNIV., BASRAH, IRAQ"	mainlib	
200904_eQC2	146.13	191.12		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	144251	8.56463	XIC(146.13±500ppm)	8.93	34397723594	14.163	136	Saturated; Spectra Search{Unable to do spectral search}	894.5		910	98.0	1	6	"Methoxyamine, 2TMS derivative"	910	98.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	899	98.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"Methoxyamine, 2TMS derivative"	886	98.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"O-Ethylhydroxylamine, 2TMS derivative"	679	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IIPXSPLATBUPGO-UHFFFAOYSA-N"">IIPXSPLATBUPGO-UHFFFAOYSA-N</a>"	959022-28-7	C8H23NOSi2	"NIST Mass Spectrometry Data Center, 2010"	mainlib		Hexamethyldisilazane	671	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FFUAGWLWBBFQJT-UHFFFAOYSA-N"">FFUAGWLWBBFQJT-UHFFFAOYSA-N</a>"	999-97-3	C6H19NSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib	686 ± 0(1)
200904_eQC2	88.99	191.00		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	74720	8.67028	XIC(88.99±500ppm)	2.28	8250050020	3.397	110	Spectra Search{Unable to do spectral search}	898.9		850	95.8	1	7	"Methoxyamine, 2TMS derivative"	850	95.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	830	98.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"Methoxyamine, 2TMS derivative"	818	98.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"O-Ethylhydroxylamine, 2TMS derivative"	609	0.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IIPXSPLATBUPGO-UHFFFAOYSA-N"">IIPXSPLATBUPGO-UHFFFAOYSA-N</a>"	959022-28-7	C8H23NOSi2	"NIST Mass Spectrometry Data Center, 2010"	mainlib		aminooxyacetic acid_RI 408686	603	70.8		645-88-5		fiehn	UCD Fiehn rtx5	
200904_eQC2	86.02	191.12		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	167077	8.99064	XIC(86.02±500ppm)	0.06	23202225019	9.553	184	Saturated; Spectra Search{Unable to do spectral search}	912.3		837	92.4	1	11	"Methoxyamine, 2TMS derivative"	837	92.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	836	96.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"Methoxyamine, 2TMS derivative"	804	96.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"O-Ethylhydroxylamine, 2TMS derivative"	581	0.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IIPXSPLATBUPGO-UHFFFAOYSA-N"">IIPXSPLATBUPGO-UHFFFAOYSA-N</a>"	959022-28-7	C8H23NOSi2	"NIST Mass Spectrometry Data Center, 2010"	mainlib		"10,10-Dimethyl-3,6,9,11,14,17-hexaoxa-10-silanonadecane"	572	0.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/SIUASNHUGIWDLB-UHFFFAOYSA-N"">SIUASNHUGIWDLB-UHFFFAOYSA-N</a>"		C14H32O6Si	"NIST Mass Spectrometry Data Center, 2010"	mainlib	
200904_eQC2	146.09	191.14		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	4580	9.01618	XIC(146.09±500ppm)	0.09	1422015616	0.585	71	Spectra Search{Unable to do spectral search}	913.3		866	98.7	1	12	"Methoxyamine, 2TMS derivative"	866	98.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"Methoxyamine, 2TMS derivative"	835	92.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	805	98.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		Hexamethyldisilazane	666	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FFUAGWLWBBFQJT-UHFFFAOYSA-N"">FFUAGWLWBBFQJT-UHFFFAOYSA-N</a>"	999-97-3	C6H19NSi2	"ORMSBG,10(10)859(1975); J. TAMAS"	replib	686 ± 0(1)	Hexamethyldisilazane	654	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FFUAGWLWBBFQJT-UHFFFAOYSA-N"">FFUAGWLWBBFQJT-UHFFFAOYSA-N</a>"	999-97-3	C6H19NSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib	686 ± 0(1)
200904_eQC2	75.04	75.04		Unknown	"Carbamic acid, methyl ester"	598-55-0	C2H5NO2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GTCAXTIRRLKXRU-UHFFFAOYSA-N"">GTCAXTIRRLKXRU-UHFFFAOYSA-N</a>"	4923	9.43301	XIC(75.04±500ppm)	0.05	1711694384	0.705	18	Spectra Search{Unable to do spectral search}	930.7		870	73.6	1	43	"Carbamic acid, methyl ester"	870	73.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GTCAXTIRRLKXRU-UHFFFAOYSA-N"">GTCAXTIRRLKXRU-UHFFFAOYSA-N</a>"	598-55-0	C2H5NO2	"INST.OF CLINICAL BIOCHEM,RIKSHOSP,UNIV.OF OSLO,E.JELLUM,ET.A"	replib		"Carbamic acid, methyl ester"	857	73.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GTCAXTIRRLKXRU-UHFFFAOYSA-N"">GTCAXTIRRLKXRU-UHFFFAOYSA-N</a>"	598-55-0	C2H5NO2	Japan AIST/NIMC Database- Spectrum MS-NW-6361	replib		Methylal	840	20.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NKDDWNXOKDWJAK-UHFFFAOYSA-N"">NKDDWNXOKDWJAK-UHFFFAOYSA-N</a>"	109-87-5	C3H8O2	"YAMAMOTO M, DEP. CHEMISTRY, FAC. SCIENCE, NARA WOMEN'S UNIV.; Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory."	replib	500 ± 0(1)	Methylal	839	61.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NKDDWNXOKDWJAK-UHFFFAOYSA-N"">NKDDWNXOKDWJAK-UHFFFAOYSA-N</a>"	109-87-5	C3H8O2		mainlib	500 ± 0(1)	Methylal	828	20.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NKDDWNXOKDWJAK-UHFFFAOYSA-N"">NKDDWNXOKDWJAK-UHFFFAOYSA-N</a>"	109-87-5	C3H8O2	"James Little,Eastman Chem.Co.,Kingsport,TN"	replib	500 ± 0(1)
200904_eQC2	172.08	173.07		Unknown	"1,2-Dimethyl-3-formylindole"	38292-40-9	C11H11NO	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HYGUWHAXRMPCCP-UHFFFAOYSA-N"">HYGUWHAXRMPCCP-UHFFFAOYSA-N</a>"	149991	9.44528	XIC(172.08±500ppm)	0.24	4614277421	1.900	283	Spectra Search{Unable to do spectral search}	931.2		709	69.8	1	44	"1,2-Dimethyl-3-formylindole"	709	69.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HYGUWHAXRMPCCP-UHFFFAOYSA-N"">HYGUWHAXRMPCCP-UHFFFAOYSA-N</a>"	38292-40-9	C11H11NO	"A.Pleshkova, Nesmeyanov Inst.Org.Elem.Cpds, Moscow"	replib		Julolidine	661	14.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/DZFWNZJKBJOGFQ-UHFFFAOYSA-N"">DZFWNZJKBJOGFQ-UHFFFAOYSA-N</a>"	479-59-4	C12H15N	Japan AIST/NIMC Database- Spectrum MS-IW-2320	replib		"1,2-Dimethyl-3-formylindole"	659	6.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HYGUWHAXRMPCCP-UHFFFAOYSA-N"">HYGUWHAXRMPCCP-UHFFFAOYSA-N</a>"	38292-40-9	C11H11NO	"A.Pleshkova, Nesmeyanov Inst.Org.Elem.Cpds, Moscow"	mainlib		"Ethenylcyanide, 3-[3,4-methylenedioxyphenyl]-"	651	5.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GQUDHNZWHXCPSA-OWOJBTEDSA-N"">GQUDHNZWHXCPSA-OWOJBTEDSA-N</a>"		C10H7NO2	"A. Brossi, LAC, NIDDK, NIH, Bethesda, MD 20892"	mainlib		2-Ethyl-8-quinolinol	651	5.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HJMQAQTWIKXWIZ-UHFFFAOYSA-N"">HJMQAQTWIKXWIZ-UHFFFAOYSA-N</a>"	71104-53-5	C11H11NO	Japan AIST/NIMC Database- Spectrum MS-IW-4426	mainlib	
200904_eQC2	171.09	186.12		Unknown	"Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-"	1000-70-0	C7H18N2Si2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KSVMTHKYDGMXFJ-UHFFFAOYSA-N"">KSVMTHKYDGMXFJ-UHFFFAOYSA-N</a>"	390816	9.45267	XIC(171.09±500ppm)	0.18	20635290587	8.496	314	Saturated; Spectra Search{Unable to do spectral search}	931.5	964 ± 0(1)	808	98.5	1	45	"Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-"	808	98.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KSVMTHKYDGMXFJ-UHFFFAOYSA-N"">KSVMTHKYDGMXFJ-UHFFFAOYSA-N</a>"	1000-70-0	C7H18N2Si2	Chemical Concepts	replib	964 ± 0(1)	"Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-"	704	74.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KSVMTHKYDGMXFJ-UHFFFAOYSA-N"">KSVMTHKYDGMXFJ-UHFFFAOYSA-N</a>"	1000-70-0	C7H18N2Si2	"J.E. DRAKE, DEP. CHEM., WINDSOR UNIV., ONTARIO, CANAhy"	mainlib	964 ± 0(1)	Tricarbomethoxyethylene	626	8.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/QKUGMJHHSODNHU-UHFFFAOYSA-N"">QKUGMJHHSODNHU-UHFFFAOYSA-N</a>"	51175-48-5	C8H10O6	"J. MADSEN,DEP. ORG. CHEM.,TECH. UNIV. DENMARK,LYNGBY,DENMARK"	mainlib		"2,4(1H,3H)-Pyrimidinedione, 6-methyl-5-nitro-"	602	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/LIVYMRJSNFHYEN-UHFFFAOYSA-N"">LIVYMRJSNFHYEN-UHFFFAOYSA-N</a>"	16632-21-6	C5H5N3O4	"A.A.Kutin, Moscow, Russia"	replib		"1(2H)-Pyrazinecarboxylic acid, 4-[2-[(3-chlorophenyl)amino]-2-oxoethyl]tetrahydro-, ethyl ester"	590	2.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KWHCCGQHSUMLTR-UHFFFAOYSA-N"">KWHCCGQHSUMLTR-UHFFFAOYSA-N</a>"		C15H20ClN3O3	"A.A.Kutin, Moscow, Russia"	mainlib	
200904_eQC2	73.08	188.06		Unknown	2-Ethylhexanal ethylene glycol acetal		C10H20O2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/LQSZQAHPRJMRET-UHFFFAOYSA-N"">LQSZQAHPRJMRET-UHFFFAOYSA-N</a>"	127	9.50499	XIC(73.08±500ppm)	1.53	15169456	0.006	11	Spectra Search{Unable to do spectral search}	933.7		855	64.7	1	51	2-Ethylhexanal ethylene glycol acetal	855	64.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/LQSZQAHPRJMRET-UHFFFAOYSA-N"">LQSZQAHPRJMRET-UHFFFAOYSA-N</a>"		C10H20O2	"SODA AROMATIC CO., LTD.; Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory."	mainlib		"1,3-Dioxolane-2-methanol"	811	14.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/ZAGUSKAXELYWCE-UHFFFAOYSA-N"">ZAGUSKAXELYWCE-UHFFFAOYSA-N</a>"	5694-68-8	C4H8O3	Anonymous 2008	mainlib		"1,3-Dioxolane"	805	51.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/WNXJIVFYUVYPPR-UHFFFAOYSA-N"">WNXJIVFYUVYPPR-UHFFFAOYSA-N</a>"	646-06-0	C3H6O2	"NIST Mass Spectrometry Data Center, 1990."	replib	588 ± 6(2)	"1,3-Dioxolane"	800	9.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/WNXJIVFYUVYPPR-UHFFFAOYSA-N"">WNXJIVFYUVYPPR-UHFFFAOYSA-N</a>"	646-06-0	C3H6O2	Japan AIST/NIMC Database- Spectrum MS-NW-4402	mainlib	588 ± 6(2)	"1,3-Dioxolane, 2-hexyl-"	779	15.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/DDSSJDFXTAYRNO-UHFFFAOYSA-N"">DDSSJDFXTAYRNO-UHFFFAOYSA-N</a>"	1708-34-5	C9H18O2	"SODA AROMATIC CO., LTD.; Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory."	replib	
200904_eQC2	75.06	184.12		Unknown	"Glycine, tert.-butyldimethylsilyl ester"		C8H19NO2Si	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/TWKYVGQGQMFGQD-UHFFFAOYSA-N"">TWKYVGQGQMFGQD-UHFFFAOYSA-N</a>"	226	9.6266	XIC(75.06±500ppm)	1.04	33037814	0.014	18	Spectra Search{Unable to do spectral search}	938.8	1152 ± 0(1)	709	76.3	1	61	"Glycine, tert.-butyldimethylsilyl ester"	709	76.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/TWKYVGQGQMFGQD-UHFFFAOYSA-N"">TWKYVGQGQMFGQD-UHFFFAOYSA-N</a>"		C8H19NO2Si	"NIST Mass Spectrometry Data Center, 2016"	mainlib	1152 ± 0(1)	"2-(Methylamino)ethanol, tert-butyldimethylsilyl ether"	646	12.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GWQLMSTUGJQEAW-UHFFFAOYSA-N"">GWQLMSTUGJQEAW-UHFFFAOYSA-N</a>"		C9H23NOSi	"NIST Mass Spectrometry Data Center, 2010"	mainlib		"Glycine, TMS derivative"	609	3.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/PYEWXFVCJUWAPS-UHFFFAOYSA-N"">PYEWXFVCJUWAPS-UHFFFAOYSA-N</a>"	5269-37-4	C5H13NO2Si	NIST Mass Spectrometry Data Center	mainlib	919 ± 0(1)	"Methyl(methyl 2,3-di-O-methyl-a-D-mannopyranoside)uronate"	599	2.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/PAZPZGXLSSCPRJ-RPLNLOMXSA-N"">PAZPZGXLSSCPRJ-RPLNLOMXSA-N</a>"	89177-20-8	C10H18O7	"Institute of Organic Chemistry, Novosibirsk, USSR 1988"	mainlib		"a-D-Glucopyranosiduronic acid, methyl 2,3-di-O-methyl-, methyl ester"	598	2.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/PAZPZGXLSSCPRJ-OIOLOSQHSA-N"">PAZPZGXLSSCPRJ-OIOLOSQHSA-N</a>"	51433-21-7	C10H18O7	"ORMSBG,10(5)376(1975); V. KOVACIK"	mainlib	
