Test
Sample	Base Mass	Observed Ion m/z	Group	Type	Name	CAS	Formula	InChIKey	Quant S/N	R.T. (min)	Quant Masses	Tailing Factor	Area	Area %	Stick Count	Concerns	Retention Index	Lib. RI	Similarity	Probability	Hit #	Peak Number	Hit 1 Name	Hit 1 Similarity	Hit 1 Probability	Hit 1 InChIKey	Hit 1 CAS	Hit 1 Formula	Hit 1 Contributor	Hit 1 Library	Hit 1 Lib. RI	Hit 2 Name	Hit 2 Similarity	Hit 2 Probability	Hit 2 InChIKey	Hit 2 CAS	Hit 2 Formula	Hit 2 Contributor	Hit 2 Library	Hit 2 Lib. RI	Hit 3 Name	Hit 3 Similarity	Hit 3 Probability	Hit 3 InChIKey	Hit 3 CAS	Hit 3 Formula	Hit 3 Contributor	Hit 3 Library	Hit 3 Lib. RI	Hit 4 Name	Hit 4 Similarity	Hit 4 Probability	Hit 4 InChIKey	Hit 4 CAS	Hit 4 Formula	Hit 4 Contributor	Hit 4 Library	Hit 4 Lib. RI	Hit 5 Name	Hit 5 Similarity	Hit 5 Probability	Hit 5 InChIKey	Hit 5 CAS	Hit 5 Formula	Hit 5 Contributor	Hit 5 Library	Hit 5 Lib. RI
200904_eQC1	146.07	160.97		Unknown	Hexamethyldisilazane	999-97-3	C6H19NSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FFUAGWLWBBFQJT-UHFFFAOYSA-N"">FFUAGWLWBBFQJT-UHFFFAOYSA-N</a>"	30126	8.53451	XIC(146.07±500ppm)	14.58	18453161785	8.503	85	Spectra Search{Unable to do spectral search}	893.3	686 ± 0(1)	775	84.0	1	3	Hexamethyldisilazane	775	84.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FFUAGWLWBBFQJT-UHFFFAOYSA-N"">FFUAGWLWBBFQJT-UHFFFAOYSA-N</a>"	999-97-3	C6H19NSi2	"NARA WOMEN'S UNIVERSITY; Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory."	replib	686 ± 0(1)	"6-Amino-2-methyl-1H-pyrrolo[2,3-b]pyridine"	759	68.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/NFESUUPHDJBALE-UHFFFAOYSA-N"">NFESUUPHDJBALE-UHFFFAOYSA-N</a>"	55463-64-4	C8H9N3	"T.J. WARD, 11 IONA CRES., CIPPENHAM, SLOUGH, BERKS, UK"	mainlib		Hexamethyldisilazane	715	84.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FFUAGWLWBBFQJT-UHFFFAOYSA-N"">FFUAGWLWBBFQJT-UHFFFAOYSA-N</a>"	999-97-3	C6H19NSi2	"ORMSBG,10(10)859(1975); J. TAMAS"	replib	686 ± 0(1)	Piperonylonitrile	712	14.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/PKRWWZCDLJSJIF-UHFFFAOYSA-N"">PKRWWZCDLJSJIF-UHFFFAOYSA-N</a>"	4421-09-4	C8H5NO2	"Chuck Anderson, Aldrich Chemical Co."	mainlib		Piperonylonitrile	707	12.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/PKRWWZCDLJSJIF-UHFFFAOYSA-N"">PKRWWZCDLJSJIF-UHFFFAOYSA-N</a>"	4421-09-4	C8H5NO2	NIST Mass Spectrometry Data Center	replib	
200904_eQC1	146.15	191.81		Unknown	"Ethane, 1,2-diphenyl-1,2-bis(azetidinyl-1)-"		C20H24N2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/WLTPRDBHFUQGLC-UHFFFAOYSA-N"">WLTPRDBHFUQGLC-UHFFFAOYSA-N</a>"	78758	8.55605	XIC(146.15±500ppm)	9.72	30996900070	14.283	6	Saturated; Spectra Search{Unable to do spectral search}	894.2		728	46.2	1	4	"Ethane, 1,2-diphenyl-1,2-bis(azetidinyl-1)-"	728	46.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/WLTPRDBHFUQGLC-UHFFFAOYSA-N"">WLTPRDBHFUQGLC-UHFFFAOYSA-N</a>"		C20H24N2	Chemical Concepts	mainlib		"l-Alanine, N-(2-methoxyethoxycarbonyl)-, heptyl ester"	685	10.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/ZBJYRVFQMBLTQH-UHFFFAOYSA-N"">ZBJYRVFQMBLTQH-UHFFFAOYSA-N</a>"		C14H27NO5	"Zaikin V.G., TIPS RAS, Moscow, Russia"	mainlib		p-Cyanobenzaldehyde dimethylacetal	668	5.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KAIKLOZUJNGBNP-UHFFFAOYSA-N"">KAIKLOZUJNGBNP-UHFFFAOYSA-N</a>"		C10H11NO2	"MASS SPECTROSCOPY SOC. OF JAPAN (MSSJ); Used with permission, courtesy of Funatsu Laboratory, University of Tokyo.The copyright reserved by Funatsu Laboratory."	mainlib		"l-Alanine, N-(2-methoxyethoxycarbonyl)-, hexyl ester"	667	5.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/DINPXEJUNGHAHO-UHFFFAOYSA-N"">DINPXEJUNGHAHO-UHFFFAOYSA-N</a>"		C13H25NO5	"Zaikin V.G., TIPS RAS, Moscow, Russia"	mainlib		"l-Alanine, N-(2-methoxyethoxycarbonyl)-, dodecyl ester"	665	4.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/WROBSRRIPUHLMJ-UHFFFAOYSA-N"">WROBSRRIPUHLMJ-UHFFFAOYSA-N</a>"		C19H37NO5	"Zaikin V.G., TIPS RAS, Moscow, Russia"	mainlib	
200904_eQC1	146.09	191.15		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	65132	8.56303	XIC(146.09±500ppm)	8.32	23070503337	10.631	92	Saturated; Spectra Search{Unable to do spectral search}	894.5		894	98.5	1	5	"Methoxyamine, 2TMS derivative"	894	98.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"Methoxyamine, 2TMS derivative"	882	96.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	871	98.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"Galactopyranose, 2,4-di-O-methyl-1,3,6-tris-O-(trimethylsilyl)-"	662	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VAYSPDPTAXPXET-UHFFFAOYSA-N"">VAYSPDPTAXPXET-UHFFFAOYSA-N</a>"	55449-69-9	C17H40O6Si3		mainlib		"Glucopyranose, 2,4-di-O-methyl-1,3,6-tris-O-(trimethylsilyl)-"	655	0.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VAYSPDPTAXPXET-UHFFFAOYSA-N"">VAYSPDPTAXPXET-UHFFFAOYSA-N</a>"	55400-19-6	C17H40O6Si3		mainlib	
200904_eQC1	86.01	191.25		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	13237	8.99528	XIC(86.01±500ppm)	0.08	12157744200	5.602	197	Saturated; Spectra Search{Unable to do spectral search}	912.5		807	97.1	1	9	"Methoxyamine, 2TMS derivative"	807	97.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"Methoxyamine, 2TMS derivative"	799	92.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Methoxyamine, 2TMS derivative"	762	97.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"O-Ethylhydroxylamine, 2TMS derivative"	557	0.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IIPXSPLATBUPGO-UHFFFAOYSA-N"">IIPXSPLATBUPGO-UHFFFAOYSA-N</a>"	959022-28-7	C8H23NOSi2	"NIST Mass Spectrometry Data Center, 2010"	mainlib		"O-Ethylhydroxylamine, 2TMS derivative"	551	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IIPXSPLATBUPGO-UHFFFAOYSA-N"">IIPXSPLATBUPGO-UHFFFAOYSA-N</a>"	959022-28-7	C8H23NOSi2	"G.S. KING, CHEM. PATHOL. DEP., QUEEN CHARLOTTE'S HOSP., LONDON"	replib	
200904_eQC1	146.09	191.14		Unknown	"Methoxyamine, 2TMS derivative"	7266-76-4	C7H21NOSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	4554	9.00559	XIC(146.09±500ppm)	0.09	1435993848	0.662	85	Saturated; Spectra Search{Unable to do spectral search}	912.9		841	98.4	1	10	"Methoxyamine, 2TMS derivative"	841	98.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	Chemical Concepts	replib		"Methoxyamine, 2TMS derivative"	818	98.4	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"D.HENNEBERG, MAX-PLANCK INSTITUTE, MULHEIM, WEST GERMANY"	replib		"Methoxyamine, 2TMS derivative"	815	95.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FNQBMWGJZYQTCK-UHFFFAOYSA-N"">FNQBMWGJZYQTCK-UHFFFAOYSA-N</a>"	7266-76-4	C7H21NOSi2	"NIST Mass Spectrometry Data Center, 2008"	mainlib		"Glucopyranose, 2,4-di-O-methyl-1,3,6-tris-O-(trimethylsilyl)-"	631	1.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VAYSPDPTAXPXET-UHFFFAOYSA-N"">VAYSPDPTAXPXET-UHFFFAOYSA-N</a>"	55400-19-6	C17H40O6Si3		mainlib		"Galactopyranose, 2,4-di-O-methyl-1,3,6-tris-O-(trimethylsilyl)-"	624	1.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VAYSPDPTAXPXET-UHFFFAOYSA-N"">VAYSPDPTAXPXET-UHFFFAOYSA-N</a>"	55449-69-9	C17H40O6Si3		mainlib	
200904_eQC1	267.06	272.06		Unknown	"2,5-Dihydroxybenzaldehyde, 2TMS derivative"	56114-69-3	C13H22O3Si2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGDNDISFPNBJNB-UHFFFAOYSA-N"">OGDNDISFPNBJNB-UHFFFAOYSA-N</a>"	3111	9.15016	XIC(267.06±500ppm)	0.20	50426823	0.023	57	Spectra Search{Unable to do spectral search}	918.9		710	50.8	1	19	"2,5-Dihydroxybenzaldehyde, 2TMS derivative"	710	50.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGDNDISFPNBJNB-UHFFFAOYSA-N"">OGDNDISFPNBJNB-UHFFFAOYSA-N</a>"	56114-69-3	C13H22O3Si2	WASHINGTON UNIVERSITY MEDICAL SCHOOL W.R. SHERMAN	mainlib		"2,5-Dihydroxybenzaldehyde, 2TMS derivative"	702	58.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGDNDISFPNBJNB-UHFFFAOYSA-N"">OGDNDISFPNBJNB-UHFFFAOYSA-N</a>"	56114-69-3	C13H22O3Si2	"G.S. KING, CHEM. PATHOL. DEP., QUEEN CHARLOTTE'S HOSP., LONDON"	replib		"2,4-Dihydroxybenzaldehyde, 2TMS derivative"	688	20.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/UIOLBHGUVXPTDV-UHFFFAOYSA-N"">UIOLBHGUVXPTDV-UHFFFAOYSA-N</a>"	33617-38-8	C13H22O3Si2	NIST Mass Spectrometry Data Center	mainlib	1682 ± 0(1)	"2,4-Dihydroxybenzaldehyde, 2TMS derivative"	670	15.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/UIOLBHGUVXPTDV-UHFFFAOYSA-N"">UIOLBHGUVXPTDV-UHFFFAOYSA-N</a>"	33617-38-8	C13H22O3Si2	WASHINGTON UNIVERSITY MEDICAL SCHOOL W.R. SHERMAN	replib	1682 ± 0(1)	2-[(Trimethylsilyl)oxy]-2-{4-[(trimethylsilyl)oxy]phenyl}ethanamine	661	5.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/FAJGMMLWXVYQTL-UHFFFAOYSA-N"">FAJGMMLWXVYQTL-UHFFFAOYSA-N</a>"		C14H27NO2Si2	"Tox21 Consortium/NIST Mass Spectrometry Data Center, 2012"	mainlib	
200904_eQC1	100.08	189.16		Unknown	"Ethanamine, 2TMS derivative"	2477-39-6	C8H23NSi2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGWVYCFORNDBRE-UHFFFAOYSA-N"">OGWVYCFORNDBRE-UHFFFAOYSA-N</a>"	982	9.20576	XIC(100.08±500ppm)	0.66	133370478	0.061	36	Spectra Search{Unable to do spectral search}	921.2		724	70.7	1	22	"Ethanamine, 2TMS derivative"	724	70.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGWVYCFORNDBRE-UHFFFAOYSA-N"">OGWVYCFORNDBRE-UHFFFAOYSA-N</a>"	2477-39-6	C8H23NSi2	"N.W. Davies, Centr. Sci. Lab., Univ. Tasmania, Hobart, Australia"	mainlib		"Triethylamine, 2-chloro-2'-hydroxy-, O-TMS"	699	21.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/QVNYSCMVVJNIHW-UHFFFAOYSA-N"">QVNYSCMVVJNIHW-UHFFFAOYSA-N</a>"	959062-14-7	C9H22ClNOSi	NIST Mass Spectrometry Data Center	mainlib	1167 ± 0(1)	"Ethanamine, 2TMS derivative"	663	69.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/OGWVYCFORNDBRE-UHFFFAOYSA-N"">OGWVYCFORNDBRE-UHFFFAOYSA-N</a>"	2477-39-6	C8H23NSi2	"CBDCOM/ERDEC, Edgewood, MD"	replib		"Triethylamine, 2-chloro-2'-hydroxy-, O-TMS"	630	18.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/QVNYSCMVVJNIHW-UHFFFAOYSA-N"">QVNYSCMVVJNIHW-UHFFFAOYSA-N</a>"	959062-14-7	C9H22ClNOSi	"Dennis Rohrbaugh, CBDCOM/ERDEC, Edgewood, MD"	replib	1167 ± 0(1)	Pyruvic Acid RI 223090	623	66.0		55493-92-0	C7H15NO3Si	boelling	Fiehn-library	
200904_eQC1	172.12	173.06		Unknown	"Ethenylcyanide, 3-[3,4-methylenedioxyphenyl]-"		C10H7NO2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GQUDHNZWHXCPSA-OWOJBTEDSA-N"">GQUDHNZWHXCPSA-OWOJBTEDSA-N</a>"	146104	9.43704	XIC(172.12±500ppm)	0.24	4582209412	2.111	210	Spectra Search{Unable to do spectral search}	930.9		722	35.1	1	40	"Ethenylcyanide, 3-[3,4-methylenedioxyphenyl]-"	722	35.1	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/GQUDHNZWHXCPSA-OWOJBTEDSA-N"">GQUDHNZWHXCPSA-OWOJBTEDSA-N</a>"		C10H7NO2	"A. Brossi, LAC, NIDDK, NIH, Bethesda, MD 20892"	mainlib		"1,2-Dimethyl-3-formylindole"	685	62.8	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HYGUWHAXRMPCCP-UHFFFAOYSA-N"">HYGUWHAXRMPCCP-UHFFFAOYSA-N</a>"	38292-40-9	C11H11NO	"A.Pleshkova, Nesmeyanov Inst.Org.Elem.Cpds, Moscow"	replib		"Calycanthidine, 1-demethyl-, (2ﬂ,3ﬂ)-"	669	6.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HOYXPMHLHJOGHD-UHFFFAOYSA-N"">HOYXPMHLHJOGHD-UHFFFAOYSA-N</a>"	4147-37-9	C22H26N4	"E. S. HALL UNIV. OF BRIT. COLUMBIA, VANCOUVER, CANADA"	mainlib		"8-Hydroxyquinoline-5-carbaldehyde, acetate"	654	4.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/SSJYCDOQKJOLHV-UHFFFAOYSA-N"">SSJYCDOQKJOLHV-UHFFFAOYSA-N</a>"	102486-86-2	C12H9NO3	NIST Mass Spectrometry Data Center	mainlib	1850 ± 0(1)	2-Ethyl-8-quinolinol	651	3.7	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/HJMQAQTWIKXWIZ-UHFFFAOYSA-N"">HJMQAQTWIKXWIZ-UHFFFAOYSA-N</a>"	71104-53-5	C11H11NO	Japan AIST/NIMC Database- Spectrum MS-IW-4426	mainlib	
200904_eQC1	171.10	186.12		Unknown	"Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-"	1000-70-0	C7H18N2Si2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KSVMTHKYDGMXFJ-UHFFFAOYSA-N"">KSVMTHKYDGMXFJ-UHFFFAOYSA-N</a>"	365756	9.44349	XIC(171.10±500ppm)	0.19	19793828705	9.121	283	Saturated; Spectra Search{Unable to do spectral search}	931.1	964 ± 0(1)	859	98.5	1	41	"Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-"	859	98.5	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KSVMTHKYDGMXFJ-UHFFFAOYSA-N"">KSVMTHKYDGMXFJ-UHFFFAOYSA-N</a>"	1000-70-0	C7H18N2Si2	Chemical Concepts	replib	964 ± 0(1)	"Silanamine, N,N'-methanetetraylbis[1,1,1-trimethyl-"	784	84.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KSVMTHKYDGMXFJ-UHFFFAOYSA-N"">KSVMTHKYDGMXFJ-UHFFFAOYSA-N</a>"	1000-70-0	C7H18N2Si2	"J.E. DRAKE, DEP. CHEM., WINDSOR UNIV., ONTARIO, CANAhy"	mainlib	964 ± 0(1)	Tricarbomethoxyethylene	683	6.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/QKUGMJHHSODNHU-UHFFFAOYSA-N"">QKUGMJHHSODNHU-UHFFFAOYSA-N</a>"	51175-48-5	C8H10O6	"J. MADSEN,DEP. ORG. CHEM.,TECH. UNIV. DENMARK,LYNGBY,DENMARK"	mainlib		"2,4(1H,3H)-Pyrimidinedione, 6-methyl-5-nitro-"	650	1.0	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/LIVYMRJSNFHYEN-UHFFFAOYSA-N"">LIVYMRJSNFHYEN-UHFFFAOYSA-N</a>"	16632-21-6	C5H5N3O4	"A.A.Kutin, Moscow, Russia"	replib		"1(2H)-Pyrazinecarboxylic acid, 4-[2-[(3-chlorophenyl)amino]-2-oxoethyl]tetrahydro-, ethyl ester"	649	1.6	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/KWHCCGQHSUMLTR-UHFFFAOYSA-N"">KWHCCGQHSUMLTR-UHFFFAOYSA-N</a>"		C15H20ClN3O3	"A.A.Kutin, Moscow, Russia"	mainlib	
200904_eQC1	140.05	229.09		Unknown	"1-Deoxy-1-(methylamino)-D-galactitol, N,O,O,O,O,O-hexa(trifluoroacetyl)-"		C19H11F18NO11	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/AINUEIDIXPMVIA-UHFFFAOYSA-N"">AINUEIDIXPMVIA-UHFFFAOYSA-N</a>"	2385	9.63362	XIC(140.05±500ppm)	11.21	74412411	0.034	31	Spectra Search{Unable to do spectral search}	939.0	1294 ± 0(1)	717	23.9	1	58	"1-Deoxy-1-(methylamino)-D-galactitol, N,O,O,O,O,O-hexa(trifluoroacetyl)-"	717	23.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/AINUEIDIXPMVIA-UHFFFAOYSA-N"">AINUEIDIXPMVIA-UHFFFAOYSA-N</a>"		C19H11F18NO11	"NIST Mass Spectrometry Data Center, 2010"	mainlib	1294 ± 0(1)	N-Methyl-N-n-butyltrifluoroacetamide	696	10.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/YUWKPIVNGHIKDU-UHFFFAOYSA-N"">YUWKPIVNGHIKDU-UHFFFAOYSA-N</a>"	38182-15-9	C7H12F3NO	"V.G.Zaikin, TIPS, Russian Acad. Sci."	mainlib		"Sarcosine, N-trifluoroacetyl-, methyl ester"	691	8.2	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/YQGROFLNTVVSDD-UHFFFAOYSA-N"">YQGROFLNTVVSDD-UHFFFAOYSA-N</a>"		C6H8F3NO3	"NIST Mass Spectrometry Data Center, 2016"	mainlib	1016 ± 0(1)	"Alanine, N-methyl-n-propargyloxycarbonyl-, decyl ester"	684	6.3	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/IZWOWXFZHFHXRU-UHFFFAOYSA-N"">IZWOWXFZHFHXRU-UHFFFAOYSA-N</a>"		C18H31NO4	"Zaikin V.G., TIPS RAS, Moscow, Russia"	mainlib		Methenamine	666	52.9	"<a href=""http://pubchem.ncbi.nlm.nih.gov/compound/VKYKSIONXSXAKP-UHFFFAOYSA-N"">VKYKSIONXSXAKP-UHFFFAOYSA-N</a>"	100-97-0	C6H12N4	NIST Mass Spectrometry Data Center	replib	1213 ± 8(4)
